name	id	manufacturer	sold_in	introduced
Hematogen	/m/025z15q			
Cadbury Spira	/m/05p0fy3			
Hershey's S'mores	/m/05cw71	The Hershey Company	United States of America	
Mr. Big	/m/068_8g	Cadbury	Canada	
Boost	/m/05sxjk	Cadbury	United Kingdom,South Africa,Australia	1985
Lion Bar	/m/0dk0qv	Nestlé	United Kingdom	1977
Reese's Peanut Butter Cup	/m/0557gj	The Hershey Company	United States of America	1928
Cadbury Dairy Milk Caramello 110g	/m/0bj7zn4			
Kvikk Lunsj	/m/0cfb65	Freia	Norway	1937
ReeseSticks	/m/0bnctm	The Hershey Company	United States of America	
Cherry Mash	/m/09qk3b			
Twirl	/m/0gq73j			
Wonka Xploder	/m/05c45pz			
Cadbury Snack	/m/0bx9hb	Cadbury	Australia	1974
Baby Ruth	/m/03zr0z	Nestlé	United States of America	1921
Abba-Zaba	/m/07b7pm	Annabelle Candy Company		
Clark Bar	/m/0c1rwn	NECCO	United States of America	
Double Decker	/m/08dt67			
Skor	/m/087xlh	The Hershey Company	United States of America,Canada	1981
Chokito	/m/0fly4r	Nestlé	Brazil,Australia	
Buttons	/m/026xchp	Cadbury	United Kingdom	1960
Oh Henry!	/m/06vgzg	Nestlé	United States of America	1920
Banjo	/m/03hn0g1			1976
Mr. Goodbar	/m/06y7rv	The Hershey Company	United States of America	1925
Sky Bar	/m/0blz06	NECCO	United States of America	1938
Fast Break	/m/043sdk	The Hershey Company	United States of America,Canada	
Túró Rudi	/m/09xx6j			
Prince Polo	/m/0cgy34	Olza SA	Poland	1955
Peppermint Crisp	/m/03c52jp			
Crispy Crunch	/m/0269fxy			
Snowball	/m/027vgvy			
Snickers	/m/029gy3	Mars, Incorporated	United States of America	1930
Secret	/m/02vkv_k	Rowntree's		1990
NutRageous	/m/03m5zss	The Hershey Company		1994
Snickers 2pak  72g	/m/0b3vg5j	Mars Australia Pty Ltd		
Wispa	/m/0413nb	Cadbury	United Kingdom	1981
Dairy Milk	/m/03hnyy	Cadbury	United Kingdom	1905
Bit-O-Honey	/m/0dngt2	Nestlé	United States of America	1924
Wazoo	/m/05q5l9f			
Mountain Bar	/m/0gyqwy	Brown & Haley	United States of America	1915
Chomp	/m/02w0qnr			
Cup-o-Gold	/m/03c5nty			
Yorkie	/m/0cyh9p			
Cadburys Tempo	/m/05q3_4y			
Chick-O-Stick	/m/0gzn85	Atkinson Candy Company	United States of America	1932
Nestlé Chunky	/m/06vg_j	Nestlé	United States of America	
Caramac	/m/04p2ny	Nestlé		1959
Big Turk	/m/0cr6n7	Nestlé	Canada	
Texan bar	/m/0f16qf	Nestlé	United States of America	
Flake	/m/03r0tf	Cadbury	Ireland,United Kingdom,South Africa,New Zealand,Australia	1920
Sugar Mama	/m/0bp_tj	James O. Welch Company	United States of America	1965
Cow Tales	/m/0260yhs	Goetze	United States of America	1984
Daim bar	/m/02hzrr	Marabou	Sweden	1953
Whatchamacallit	/m/0fwf3n	The Hershey Company	United States of America	1978
Milkybar	/m/05g8ql	Nestlé	United Kingdom	1961
Marco Polo Chocolate Bar	/m/0cdlxr		Canada	
Fry's Turkish Delight	/m/0cyjkg	Cadbury	Australia,United Kingdom,Ireland,New Zealand	1914
Polly Waffle	/m/027z_sy	Nestlé	Australia	1913
Twix	/m/02ghg5	Mars, Incorporated	United States of America,United Kingdom	1967
3 Musketeers	/m/0366r5	Mars, Incorporated	United States of America	1932
Choo Choo Bar	/m/0bty24		Australia	
Marathon	/m/07b2bv	Mars, Incorporated	United States of America	1973
Kit Kat	/m/02v_x9	Nestlé	United States of America	1935-09
Summit Candy Bar	/m/03c_6fl			
Mars Bar	/m/01kr39	Mars, Incorporated	United States of America	1936
Freddo Frog	/m/01pmdx	Cadbury	New Zealand,United Kingdom,Zimbabwe,Australia,Ireland	1930-07
M-Azing	/m/0fp1mc	Mars, Incorporated	United States of America	2004
Mackintosh's Toffee	/m/0blgmr			
Scorched Peanut Bar	/m/0280t7l	Nestlé	Australia	
Time Out	/m/0gq702	Cadbury	United Kingdom,Australia	1992
Topic	/m/0bgt5h	Mars, Incorporated	United States of America,France	
Toblerone	/m/02d7h9	Kraft Foods	Switzerland,United States of America	1908
Kendal mint cake	/m/02r2f3m	George Romney Ltd	United Kingdom	1869
Cadbury's Roses	/m/09kn30	Cadbury	United Kingdom	1938
Charleston Chew	/m/09m43s	Fox-Cross Candy Company	United States of America	1922
Maverick	/m/08cmm1	Nestlé	United Kingdom	1997
ZERO bar	/m/0bwnh_	The Hershey Company	United States of America	1920
PayDay	/m/0c6gn9	The Hershey Company	United States of America	1932
Yankie bar	/m/08gpdk	Toms Gruppen A/S	Denmark	
Starbar	/m/0cmfty	Cadbury	United Kingdom	
Kismet	/m/06c_b1			
Walnut Whip	/m/0gq7bd	Nestlé	United Kingdom	1910
Milky Way bar	/m/05gnvs	Mars, Incorporated		1926
Hershey's Miniatures	/m/0522260	The Hershey Company		1939
Krackel	/m/06y7qg	The Hershey Company	United States of America	1938
Nestlé Crunch	/m/06nhvb	Nestlé	United States of America	1938
Big Hunk	/m/0gt0ff	Annabelle Candy Company		
Caramello Koala	/m/07tknn	Cadbury	Australia	1966
PB Max	/m/04jlvkg			
Moro	/m/08d519	Cadbury	New Zealand,Ireland	1967
Fry's Chocolate Cream	/m/0cyhgk	Cadbury	United Kingdom	1866
Tupla	/m/0589c2		Finland	1970
Miniature Heroes	/m/065zvl	Cadbury	United Kingdom,Ireland	1999-09
Almond Joy	/m/05647f	The Hershey Company	United States of America	1946
Heath bar	/m/02qn35	The Hershey Company	United States of America	1928
Krembanan	/m/0280797	Nidar	Norway	1957
Salted Nut Roll	/m/0h2wtg	Pearson's Candy Company		1933
Idaho Spud	/m/06j811	Idaho Candy Company	United States of America	1918
Eat-More	/m/02818dj	The Hershey Company	Canada	
Cadbury Snowflake	/m/0d7tmh	Cadbury	United Kingdom	2000
Violet Crumble	/m/03h3br	Nestlé	Australia,New Zealand	1913
Toffee Crisp	/m/042_7_	Nestlé	United Kingdom	1963
Drifter	/m/0cbdqr	Nestlé	United Kingdom	1980
5th Avenue	/m/062cr1	The Hershey Company	United States of America	1936
Dotty Turo Rudi Dessert	/m/0bnpd9w	Sole Mizo Zrt	United States of America	2010-04-01
Fruit and Nut	/m/0gq6tj	Cadbury		1928
Cadbury's Creme Egg	/m/03ywjz	Cadbury	United Kingdom,United States of America	1923
Galaxy	/m/03rjpm	Mars, Incorporated	United Kingdom	
Peanut Chews	/m/0d1dw0	Goldenberg Candy Company	United States of America	1917
Flyte	/m/0284r5q	Mars, Incorporated	United States of America	
Coffee Crisp	/m/05g9dk	Nestlé	Canada	1938
Picnic	/m/068_cm	Cadbury	Australia,United Kingdom,New Zealand	1958
Ritter Sport	/m/04t660	Alfred Ritter GmbH & Co. KG	Germany,United States of America	1932
Dubble	/m/05j35z	Divine Chocolate Company	United Kingdom	2000
Brunch Bar	/m/08d5yq			
Curly Wurly	/m/0497nh	Cadbury	United Kingdom,Germany,Australia	1971
Bertie Beetle	/m/09h6f_	Nestlé	Australia	1963
Bounty	/m/0332d8	Mars, Incorporated		
Wonka Bar	/m/06bqbg	Nestlé	United States of America	
Blue Riband	/m/043s2qc			
Cherry Blossom	/m/09n47t	The Hershey Company	Canada	
Hershey bar	/m/06w0wg	The Hershey Company	United States of America	1894
Zagnut	/m/05hd1m	The Hershey Company	United States of America	1930
Mounds	/m/081b5l	The Hershey Company	United States of America	1920
Crunchie	/m/04y057	Cadbury	United Kingdom	1929
GooGoo Cluster	/m/0dtkd4	Standard Candy Company	United States of America	1912
Hershey's Snack Barz	/m/0cvjcv	The Hershey Company	United States of America	2004
Aero	/m/04j6rh	Nestlé	Canada,Australia,United Kingdom	1935
U-No Bar	/m/02r4fth	Annabelle Candy Company		
Butterfinger	/m/03wkn5	Nestlé	United States of America	1923
Cadbury's Fudge	/m/092d5y	Cadbury	Ireland,United Kingdom	1948
Mary Jane	/m/03c30q5	NECCO		
Nut Goodie	/m/0d9gh2	Pearson's Candy Company	United States of America	1912
Crachi	/m/046443h			
Mekupelet	/m/05t0g5z			
100 Grand Bar	/m/05m57t	Nestlé	United States of America	1966
Snickers Marathon	/m/04y5kpr			
